iter	Passed	Remaining
1358	63364	29887
1359	63440	29854
1360	63492	29810
1361	63538	29763
1362	63588	29718
1363	63675	29690
1364	63741	29652
1365	63806	29614
1366	63866	29573
1367	63903	29522
1368	63955	29478
1369	63996	29428
1370	64035	29378
1371	64077	29329
1372	64130	29285
1373	64170	29236
1374	64209	29185
1375	64252	29137
1376	64293	29088
1377	64328	29036
1378	64384	28994
1379	64432	28947
1380	64473	28898
1381	64513	28849
1382	64568	28806
1383	64602	28753
1384	64640	28703
1385	64687	28656
1386	64731	28608
1387	64771	28559
1388	64810	28509
1389	64868	28467
1390	64913	28420
1391	64974	28379
1392	65001	28324
1393	65040	28274
1394	65072	28221
1395	65117	28174
1396	65155	28123
1397	65203	28077
1398	65243	28028
1399	65289	27981
1400	65352	27941
1401	65406	27898
1402	65453	27851
1403	65494	27802
1404	65544	27757
1405	65599	27714
1406	65640	27665
1407	65707	27626
1408	65732	27571
1409	65760	27516
1410	65802	27468
1411	65846	27420
1412	65897	27375
1413	65944	27329
1414	65966	27272
1415	66023	27229
1416	66063	27180
1417	66099	27129
1418	66138	27080
1419	66176	27029
1420	66219	26981
1421	66267	26935
1422	66313	26889
1423	66354	26840
1424	66406	26795
1425	66481	26760
1426	66526	26713
1427	66567	26664
1428	66603	26613
1429	66676	26577
1430	66781	26553
1431	66818	26503
1432	66896	26469
1433	66969	26433
1434	67029	26391
1435	67058	26337
1436	67094	26286
1437	67134	26237
1438	67201	26198
1439	67258	26156
1440	67311	26111
1441	67380	26073
1442	67436	26030
1443	67484	25984
1444	67522	25934
1445	67565	25886
1446	67629	25846
1447	67687	25803
1448	67745	25761
1449	67787	25712
1450	67852	25672
1451	67914	25631
1452	67970	25588
1453	68017	25541
1454	68069	25496
1455	68130	25455
1456	68175	25407
1457	68210	25356
1458	68249	25307
1459	68291	25258
1460	68352	25216
1461	68426	25180
1462	68459	25128
1463	68511	25083
1464	68544	25031
1465	68590	24984
1466	68617	24930
1467	68665	24884
1468	68734	24845
1469	68787	24800
1470	68833	24753
1471	68899	24713
1472	68937	24663
1473	68969	24611
1474	69026	24568
1475	69062	24518
1476	69096	24466
1477	69127	24414
1478	69178	24369
1479	69219	24320
1480	69270	24275
1481	69300	24222
1482	69357	24179
1483	69409	24134
1484	69459	24088
1485	69490	24036
1486	69548	23993
1487	69614	23953
1488	69675	23911
1489	69717	23863
1490	69771	23818
1491	69815	23770
1492	69865	23725
1493	69902	23675
1494	69945	23627
1495	69989	23579
1496	70025	23528
1497	70053	23475
1498	70092	23426
1499	70134	23378
1500	70169	23327
1501	70217	23281
1502	70259	23233
1503	70311	23187
1504	70365	23143
1505	70418	23098
1506	70456	23049
1507	70497	23000
1508	70576	22964
1509	70614	22914
1510	70655	22865
1511	70718	22824
1512	70763	22777
1513	70791	22724
1514	70846	22680
1515	70927	22644
1516	70978	22598
1517	71017	22549
1518	71060	22501
1519	71106	22454
1520	71154	22408
1521	71210	22364
1522	71248	22314
1523	71292	22267
1524	71336	22219
1525	71381	22172
1526	71428	22125
1527	71468	22076
1528	71508	22027
1529	71552	21980
1530	71590	21930
1531	71631	21882
1532	71663	21830
1533	71714	21785
1534	71765	21739
1535	71814	21693
1536	71868	21649
1537	71930	21607
1538	71987	21563
1539	72034	21516
1540	72075	21468
1541	72120	21421
1542	72174	21376
1543	72235	21333
1544	72303	21293
1545	72330	21240
1546	72388	21197
1547	72431	21149
1548	72475	21101
1549	72521	21054
1550	72567	21007
1551	72630	20965
1552	72675	20918
1553	72713	20868
1554	72788	20830
1555	72848	20787
1556	72887	20738
1557	72934	20691
1558	72982	20644
1559	73033	20599
1560	73086	20554
1561	73144	20510
1562	73203	20466
1563	73246	20419
1564	73286	20370
1565	73337	20324
1566	73393	20280
1567	73462	20239
1568	73488	20187
1569	73526	20137
1570	73595	20097
1571	73669	20057
1572	73727	20013
1573	73773	19966
1574	73802	19914
1575	73862	19871
1576	73939	19832
1577	73994	19788
1578	74060	19746
1579	74105	19699
1580	74159	19653
1581	74203	19606
1582	74261	19562
1583	74306	19514
1584	74343	19465
1585	74403	19421
1586	74458	19376
1587	74498	19328
1588	74560	19285
1589	74607	19238
1590	74653	19191
1591	74703	19145
1592	74750	19098
1593	74800	19051
1594	74830	19000
1595	74869	18951
1596	74909	18903
1597	74952	18855
1598	75009	18811
1599	75047	18761
1600	75085	18712
1601	75110	18660
1602	75169	18616
1603	75235	18574
1604	75284	18527
1605	75320	18478
1606	75396	18438
1607	75460	18395
1608	75497	18346
1609	75549	18300
1610	75593	18253
1611	75641	18206
1612	75701	18162
1613	75745	18115
1614	75791	18067
1615	75816	18015
1616	75841	17963
1617	75887	17916
1618	75944	17872
1619	75989	17824
1620	76048	17780
1621	76088	17732
1622	76144	17687
1623	76187	17639
1624	76240	17593
1625	76281	17545
1626	76334	17500
1627	76382	17453
1628	76442	17409
1629	76519	17369
1630	76556	17320
1631	76602	17273
1632	76634	17222
1633	76667	17172
1634	76720	17127
1635	76760	17078
1636	76820	17034
1637	76874	16989
1638	76927	16943
1639	76971	16896
1640	77013	16848
1641	77063	16801
1642	77094	16751
1643	77183	16713
1644	77251	16671
1645	77314	16627
1646	77365	16581
1647	77433	16539
1648	77486	16493
1649	77513	16442
1650	77560	16395
1651	77641	16355
1652	77685	16307
1653	77721	16258
1654	77759	16209
1655	77793	16159
1656	77840	16113
1657	77864	16061
1658	77894	16010
1659	77937	15963
1660	77985	15916
